time,P,G(i),H_sun,T2m,WS10m,Int
20050108:0411,0.0,0.0,0.0,7.92,6.0,0.0
20050108:0511,0.0,0.0,0.0,7.48,6.0,0.0
20050108:0611,0.0,0.0,0.0,7.27,6.21,0.0
20050108:0711,0.0,0.0,0.0,7.71,6.48,0.0
20050108:0811,54.3,16.08,5.55,7.29,6.62,0.0
20050108:0911,253.1,43.52,10.31,7.21,6.9,0.0
20050108:1011,2366.5,279.0,13.2,7.57,6.69,0.0
20050108:1111,4962.3,573.16,13.96,8.27,5.72,0.0
20050108:1211,4792.1,553.89,12.53,8.8,6.76,0.0
20050108:1311,1380.1,173.27,9.03,9.3,8.28,0.0
20050108:1411,42.2,14.19,3.76,9.52,8.07,0.0
20050108:1511,0.0,0.0,0.0,9.68,8.34,0.0
20050108:1611,0.0,0.0,0.0,9.93,8.97,0.0
20050108:1711,0.0,0.0,0.0,9.55,9.38,0.0
20050108:1811,0.0,0.0,0.0,8.76,10.0,0.0
20050108:1911,0.0,0.0,0.0,7.97,9.24,0.0
20050108:2011,0.0,0.0,0.0,7.36,8.9,0.0
20050108:2111,0.0,0.0,0.0,6.76,9.1,0.0
20050108:2211,0.0,0.0,0.0,6.28,9.38,0.0
20050108:2311,0.0,0.0,0.0,5.89,9.38,0.0
20050109:0011,0.0,0.0,0.0,5.58,9.31,0.0
20050109:0111,0.0,0.0,0.0,5.23,9.1,0.0
20050109:0211,0.0,0.0,0.0,5.02,8.69,0.0
20050109:0311,0.0,0.0,0.0,4.67,8.14,0.0
20050109:0411,0.0,0.0,0.0,4.29,7.59,0.0
20050109:0511,0.0,0.0,0.0,4.0,7.24,0.0
20050109:0611,0.0,0.0,0.0,3.69,7.24,0.0
20050109:0711,0.0,0.0,0.0,3.41,7.38,0.0
20050109:0811,1046.7,134.39,5.64,3.3,7.52,0.0
20050109:0911,376.7,57.82,10.42,3.67,7.86,0.0
20050109:1011,467.1,68.66,13.32,4.17,8.0,0.0
20050109:1111,73.8,18.92,14.1,3.86,8.62,0.0
20050109:1211,61.1,17.03,12.68,4.69,8.97,0.0
20050109:1311,73.4,18.92,9.19,4.89,8.48,0.0
20050109:1411,12.5,8.51,3.92,4.81,7.93,0.0
20050109:1511,0.0,0.0,0.0,4.6,7.1,0.0
20050109:1611,0.0,0.0,0.0,4.42,6.55,0.0
20050109:1711,0.0,0.0,0.0,4.38,6.55,0.0
20050109:1811,0.0,0.0,0.0,4.67,6.34,0.0
20050109:1911,0.0,0.0,0.0,5.24,6.21,0.0
20050109:2011,0.0,0.0,0.0,5.47,5.72,0.0
20050109:2111,0.0,0.0,0.0,5.57,5.38,0.0
20050109:2211,0.0,0.0,0.0,5.93,5.31,0.0
20050109:2311,0.0,0.0,0.0,5.8,5.03,0.0
20050110:0011,0.0,0.0,0.0,5.49,4.9,0.0
20050110:0111,0.0,0.0,0.0,5.17,4.62,0.0
20050110:0211,0.0,0.0,0.0,4.55,4.34,0.0
20050110:0311,0.0,0.0,0.0,4.15,4.62,0.0
20050110:0411,0.0,0.0,0.0,3.74,5.24,0.0
20050110:0511,0.0,0.0,0.0,3.9,5.72,0.0
20050110:0611,0.0,0.0,0.0,4.51,5.93,0.0
20050110:0711,0.0,0.0,0.0,5.1,6.21,0.0
20050110:0811,0.0,3.78,5.73,5.86,6.14,0.0
20050110:0911,1749.2,211.48,10.53,6.88,6.14,0.0
20050110:1011,1269.9,160.08,13.45,8.26,6.28,0.0
20050110:1111,4713.0,545.37,14.25,9.38,6.55,0.0
20050110:1211,5028.1,585.29,12.84,10.23,6.62,0.0
20050110:1311,4233.5,497.58,9.36,10.5,6.55,0.0
20050110:1411,2644.8,324.96,4.09,10.32,6.34,0.0
20050110:1511,0.0,0.0,0.0,9.94,6.21,0.0
20050110:1611,0.0,0.0,0.0,9.72,6.21,0.0
20050110:1711,0.0,0.0,0.0,9.57,6.21,0.0
20050110:1811,0.0,0.0,0.0,9.46,6.28,0.0
20050110:1911,0.0,0.0,0.0,9.38,6.21,0.0
20050110:2011,0.0,0.0,0.0,9.02,6.21,0.0
20050110:2111,0.0,0.0,0.0,8.77,6.21,0.0
20050110:2211,0.0,0.0,0.0,8.46,6.07,0.0
20050110:2311,0.0,0.0,0.0,8.29,5.86,0.0
20050111:0011,0.0,0.0,0.0,8.01,5.59,0.0
20050111:0111,0.0,0.0,0.0,7.93,5.38,0.0
20050111:0211,0.0,0.0,0.0,7.79,5.03,0.0
20050111:0311,0.0,0.0,0.0,7.68,4.9,0.0
20050111:0411,0.0,0.0,0.0,7.93,4.9,0.0
20050111:0511,0.0,0.0,0.0,7.95,4.69,0.0
